1269,919,0
652,55,0
1269,824,0
1269,835,0
1,85,0
652,155,0
1269,1112,0
1298,1008,0
657,963,0
659,128,0
659,160,0
659,2,0
1270,442,0
387,524,0
775,170,0
2,24,0
659,45,0
1271,1437,0
659,241,0
659,408,0
777,932,0
1274,956,0
347,729,0
660,394,0
1274,1112,0
1274,826,0
660,167,0
1392,1209,0
2,483,0
1275,1153,0
2,477,0
1275,1287,0
660,453,0
1275,1197,0
5,1437,0
6,737,0
1275,854,0
661,736,0
8,40,0
8,393,0
1275,879,0
99,371,0
8,596,0
661,495,0
1439,883,0
8,564,0
8,278,0
8,55,0
1276,875,0
1276,1293,0
662,454,0
1276,741,0
1063,1306,0
664,389,0
9,756,0
1152,756,0
1277,1153,0
664,154,0
10,72,0
10,55,0
664,297,0
664,301,0
1277,837,0
664,563,0
2,642,0
2,644,0
13,323,0
1277,880,0
664,714,0
13,99,0
492,615,0
1278,980,0
1278,798,0
1063,297,0
14,644,0
664,492,0
664,623,0
21,189,0
1280,892,0
1280,792,0
14,669,0
1280,1051,0
659,17,0
14,1325,0
14,547,0
669,650,0
14,563,0
669,1041,0
14,312,0
669,150,0
1282,1437,0
1282,995,0
669,297,0
14,676,0
1410,1071,0
669,180,0
14,441,0
1286,1270,0
14,347,0
14,99,0
14,1478,0
14,492,0
14,495,0
1271,1055,0
864,952,0
15,641,0
1287,892,0
15,259,0
1287,990,0
1288,1153,0
1394,878,0
15,13,0
15,282,0
1288,944,0
1410,818,0
15,156,0
15,162,0
1290,1067,0
15,40,0
1290,814,0
15,480,0
675,150,0
15,27,0
15,564,0
15,181,0
15,441,0
15,314,0
1295,898,0
777,1390,0
675,170,0
675,172,0
1295,885,0
1295,55,0
1295,1048,0
675,55,0
675,192,0
1296,1418,0
764,13,0
15,609,0
15,492,0
675,210,0
15,754,0
675,480,0
16,669,0
1296,855,0
818,798,0
1296,996,0
675,72,0
16,118,0
16,1360,0
1298,1217,0
16,729,0
1298,878,0
676,1045,0
676,535,0
1300,1051,0
1300,1277,0
18,16,0
676,288,0
18,664,0
18,155,0
1303,1148,0
18,55,0
1177,1429,0
1305,854,0
676,566,0
676,1081,0
1306,1463,0
676,189,0
18,218,0
1308,996,0
18,495,0
19,979,0
858,1356,0
1308,862,0
20,677,0
20,55,0
1396,1045,0
1309,979,0
1309,856,0
1309,1305,0
21,642,0
676,248,0
677,641,0
1309,958,0
16,535,0
21,1179,0
1310,814,0
679,1231,0
1310,1108,0
21,297,0
681,323,0
1313,908,0
681,23,0
1313,1427,0
681,379,0
683,483,0
1177,1295,0
21,725,0
21,729,0
21,1245,0
967,1152,0
21,493,0
467,535,0
778,276,0
22,524,0
22,493,0
1348,773,0
1315,1112,0
1316,963,0
1317,1153,0
23,641,0
688,574,0
1317,919,0
688,202,0
23,535,0
23,24,0
23,154,0
688,85,0
1317,944,0
1275,1246,0
387,675,0
1275,1257,0
1318,1153,0
1318,899,0
24,644,1
693,664,0
1318,990,0
1318,952,0
1318,539,0
694,297,0
1318,830,0
24,154,0
24,154,1
694,434,0
661,493,0
24,155,0
1320,1197,0
24,434,0
699,514,0
1177,1275,0
1320,800,0
699,15,0
24,963,1
1320,1191,0
24,610,1
156,154,0
24,107,0
699,399,0
144,89,0
699,687,0
1320,1249,0
27,144,0
1320,1264,0
1320,1270,0
699,570,0
28,452,0
699,454,0
1321,1051,0
699,35,0
28,741,0
927,762,0
699,351,0
699,609,0
699,102,0
29,544,0
699,72,0
29,168,0
566,642,0
29,45,0
29,687,0
1322,854,0
1323,1437,0
702,729,0
29,202,0
1325,641,0
1325,1430,0
1325,1479,0
1325,14,0
1325,1040,0
29,493,0
1427,806,0
29,248,0
703,535,0
703,155,0
1325,932,0
1325,941,0
813,1223,0
1072,775,0
31,1063,0
1276,1055,0
1325,952,0
703,729,0
703,492,0
703,621,0
704,664,0
31,973,0
708,99,0
31,862,0
709,514,0
31,99,0
876,855,0
1325,119,0
711,72,0
855,1422,0
32,155,0
35,297,0
35,55,0
1328,1153,0
712,641,0
1328,775,0
712,1245,0
363,24,0
40,517,0
1328,1053,0
714,514,0
40,524,0
714,233,0
714,99,0
714,323,0
1328,1092,0
1328,981,0
1328,855,0
715,434,0
1328,933,0
1328,1445,0
1328,1121,0
40,591,0
721,519,0
40,623,0
1329,782,0
1329,1325,0
1329,1296,0
1329,1041,0
725,634,0
1329,150,0
725,575,0
726,644,0
726,394,0
40,180,0
1329,798,0
40,189,0
1329,802,0
1329,1051,0
726,664,0
1329,297,0
726,676,0
1052,778,0
40,1270,0
40,264,0
726,570,0
726,189,0
726,577,0
40,374,0
1402,781,0
726,460,0
879,483,0
40,1437,0
1329,1112,0
1329,729,0
726,489,0
40,454,0
40,461,0
1329,996,0
727,664,0
1329,878,0
727,1317,0
727,301,0
727,55,0
1332,961,0
727,323,0
42,591,0
1332,919,0
1333,1153,0
42,155,0
43,170,0
43,1437,0
45,564,0
729,644,0
1333,959,0
879,155,0
46,405,0
1333,490,0
46,159,0
729,31,0
46,1463,0
729,677,0
1334,1172,0
1334,1051,0
1334,1179,0
1334,810,0
46,180,0
1403,963,0
1236,1463,0
1334,1463,0
101,756,0
880,1048,0
729,460,0
1334,885,0
1335,1179,0
1185,1037,0
729,477,0
729,480,0
729,99,0
46,489,0
729,489,0
1337,810,0
46,756,0
1338,854,0
781,1357,0
730,426,0
1339,786,0
731,675,0
55,24,0
731,55,0
732,62,0
1339,1231,0
55,570,0
796,1112,0
1339,1277,0
1340,963,0
55,623,0
1342,996,0
